examples,stage,Grf,DAdv,Context,Degree,abstract,compositionality,,,,,,,,,,,,,,,
只有把活生生的人的精神面貌表现出来，才能创造出有血有肉饱含感情的艺术形象，而具有悠久的生命力,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
密切配合着舞蹈的表演，把人物的情绪烘托得有声有色,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
密切配合着舞蹈的表演，把人物的情绪烘托得有声有色,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
有点象我，又有点象你，嘿嘿，有意思,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
亲骨肉在这里会面，倒挺有意思的啊,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
"康瑛：""是很有意思，局外人是无法享受的",4,1,1,1,2,1,2,,,,,,,,,,,,,,,
"何昆幸灾乐祸地：""挺有意思！",4,0,1,1,2,1,2,,,,,,,,,,,,,,,
区分语言和言语，对于研究作家和作品的风格，提高运用语言的技巧，也是有意义的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
各地语音有差别，应该选一个最有影响的地点的语音作为标准音,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
他们的有经验的眼光看出来了，魏紫有无限的创造力,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
晚上没事，就放起了《打鱼杀家》和《萧何月下追韩信》之类，这才觉得日子有了点滋味……可如今这老倌已是鸟枪换炮了,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
象他那样出身于有钱有势家庭的人，因为不愿走父亲安排的路,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
指纹是一种很有意思的皮肤花纹,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
因为我比你有经验,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
也许，这是一种很有意义的物质,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
这里可有意思，里面有山、有水、有花、有草，夜里有灯，马路上有汽车，小河里有游艇，树林里有鸟儿唱歌,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
他对篆印文字也很有研究，有关这些，我们只要一读《〈蜕龛印存〉序（代）》就可知道了,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
芭蕾一定要表现人生才有意义，编导一定要着力于反映真实的社会生活,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
比起一些有才又有经验的导演，虽各方面条件都好，却往往纸上谈兵，我是很钦佩祖慧的勇气的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
表现好了，也是有意义的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
苏联队把第一天没出场的有经验的老将罗泽比奇换上场,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
越是全力投入工作，爱情生活倒越有意思,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
事业可以加深和巩固夫妻感情，使家庭生活的内容更加充实、丰富，更有意义,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
卫岛，这份材料倒挺有意思，快来呀,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
随着吴昭年有声有色的描绘，Ｄ副总理苍老而威严的脸变得开朗而坚定起来,4,1,0,1,1,1,2,,,,,,,,,,,,,,,
随着吴昭年有声有色的描绘，Ｄ副总理苍老而威严的脸变得开朗而坚定起来,4,1,0,1,1,1,2,,,,,,,,,,,,,,,
老张，对不起，写得虽有水平，但我们不敢录用,4,0,0,1,2,1,2,,,,,,,,,,,,,,,
童玲心里想，这个张教练，人家好疼，你还馋人家，真有意思,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
三儿子对兄长不给钱养母有意见，也强调自己家庭经济有困难,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
做一个热爱祖国、热爱党，有理想、有道德、有文化、守纪律的合格工人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
做一个热爱祖国、热爱党，有理想、有道德、有文化、守纪律的合格工人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
半璧山考点出现的问题，是该考点副主任邓金玉利用职权进行有计划、有目的的营私舞弊造成的,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
半璧山考点出现的问题，是该考点副主任邓金玉利用职权进行有计划、有目的的营私舞弊造成的,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
他们普+A879:A951遍感到这次婚礼办得文明节俭又热闹，留下了一个美好有意义的记忆,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
后来她又参加了植物小组，花草树木，春花秋实，多有意思呀,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
你们整天忙忙碌碌，生活得挺有意思,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
我在科学杂志上拜读过你的电子论文，你是个有学问的人哪,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
不过我虽然能唱许多歌曲，但最拿手的、最擅长的、最精通的、最有研究的要算是革命历史歌曲喽,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
问一些有意义的事情,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
它并不是单纯的培养熟练劳动力，而是为了造就有理想、有道德、有文化、守纪律的社会主义劳动者,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
它并不是单纯的培养熟练劳动力，而是为了造就有理想、有道德、有文化、守纪律的社会主义劳动者,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
我觉得自己并不是一个很有经验很有才能的演员，不可能创造出像夏伯阳似的令人难忘的形象,4,1,1,1,2,1,2,,,,,,,,,,,,,,,
我觉得自己并不是一个很有经验很有才能的演员，不可能创造出像夏伯阳似的令人难忘的形象,4,1,1,1,2,1,2,,,,,,,,,,,,,,,
反正是暑期么，老师还让我们参加有意义的活动哩！,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
但是，有学问的人总是不肯轻易屈从的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有条件的猪场，可用人工热源，如用红外线灯照射等提高猪舍温度,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
自己饱尝了病残的痛苦，为别人解除痛苦，这自然是件十分有意义的工作,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
老师有经验，打眼一过就知道他偷懒了,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
真有意思，这个人,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
她在有文化的人面前，有一种深刻的自卑感,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
但她决心要选择一个有文化、而又在精神方面很丰富的男人做自己的伴侣,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
更多的人都感到非常新奇和有意思,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
贲门出了毛病，现在请一位有经验的老医生开方子，吃中药,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
说来还颇有些意思，聋哑人的姓名是专起给健全人用的,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
听他说起话来，有文化 有知识，看他行起事来，实实在在不掺假,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
听他说起话来，有文化 有知识，看他行起事来，实实在在不掺假,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
他对金永河有意见，但是不能看他的笑话,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
你不愧是位博士，有头脑,4,1,0,1,1,2,2,,,,,,,,,,,,,,,
这更能表现出你文静而有知识,4,0,0,1,2,1,2,,,,,,,,,,,,,,,
他还蛮有词儿，看来你在这方面还真有点学问,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
（试探地）你老还真有钱,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
不消除这种对待科学和有文化的人的野蛮态度，我们就一步也不能前进,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
他们无论如何不能理解象他这么一个有身份的人为什么和那些浑身散发着油汗味儿的工人一同去做那种低级的劳动,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
通过以上所说，要塑造出丰满的有血有肉的人物性格,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
通过以上所说，要塑造出丰满的有血有肉的人物性格,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
优秀的文艺作品，描绘了有声有色的生活图画，塑造了有血有肉的人物形象，洋溢着炽热的激情,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
优秀的文艺作品，描绘了有声有色的生活图画，塑造了有血有肉的人物形象，洋溢着炽热的激情,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
而这往往显得更重要，更有意义,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
它是通过有血有肉的人物、通过人物与人物之间的关系来表现社会（阶级）、表现社会关系（阶级关系）的矛盾及其发展的真实面貌的,4,1,0,1,1,2,2,,,,,,,,,,,,,,,
它是通过有血有肉的人物、通过人物与人物之间的关系来表现社会（阶级）、表现社会关系（阶级关系）的矛盾及其发展的真实面貌的,4,1,0,1,1,2,2,,,,,,,,,,,,,,,
有条件的企业，经过国家有关部门批准，也可以直接经营出口业务,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
大炮虽然呜呜叫得瘆人，响声大得可怕，可有经验的人是能够躲掉的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
很大一部分工作对象，也是有生命、有头脑的演奏者和演唱者,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
哎，你是个老兵喽，看问题还是有点水平的,4,0,0,1,2,1,2,,,,,,,,,,,,,,,
还有，那位首开先河的勇士的情况，你打算‘贪污’啦，是呀，真有意思,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
可能因为他是我平生见到的第一个实实在在的、有血有肉的老红军吧,4,1,0,1,1,2,2,,,,,,,,,,,,,,,
可能因为他是我平生见到的第一个实实在在的、有血有肉的老红军吧,4,1,0,1,1,2,2,,,,,,,,,,,,,,,
还从东北军区请来有经验的军鸽教员，一块登门访问陈文广，考核他和他培育的信鸽,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
必须同这些有生命、有头脑、有思想感情、有艺术欣赏趣味的人们打交道，以求同他们一道来完成共同的创造任务,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
追求真理比占有真理更有意义,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
她有才能，人缘，机会……关键是有脑子,4,0,0,0,1,2,2,,,,,,,,,,,,,,,
她有才能，人缘，机会……关键是有脑子,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
问他要不要好-点的房间，那是为了接待那些有身份的客人的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
原农林局农艺师何志诚，是五十年代中技毕业生，兢兢业业工作三十多年，对香河的农业很有研究，过去因历史问题被控制使用,4,0,1,0,1,1,2,,,,,,,,,,,,,,,
谁发明的跳棋，真有意思,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
他学识造诣很深，在当时很有影响,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
他的学术思想在关中一带很有影响，是宋代关中的著名学者,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
使小观众既受到教育又觉得有意思，愿意看并且非看到底不可。,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
深入到群众中去，发掘最有意义的东西,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
有些青年记者遇到这种情况，往往打退堂鼓，所以对记者心理活动的研究也是很有意义的。,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
阎吾同志在新闻结尾处写了一段很有意义的现场细节,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
过去，由于受“左”的思想影响，“新闻无学”的观点很有市场,4,0,1,0,1,1,2,,,,,,,,,,,,,,,
由于商店货物进出又弄脏了，装卸货物的卡车又常把弄口堵塞，居民有意见,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
捉大鱼不很容易，捉小鱼是颇有经验的。,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
老外公既有学问又谦虚，他相信准会帮他找到凶手,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
大婶真有意思,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
没有鲜果的时候，就到干果店花毛把钱，买上一小包干杏儿当小糖，含在嘴里有滋有味的慢慢地化,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
"团支部书记对我就有意见：""××呀！",4,0,0,0,2,1,2,,,,,,,,,,,,,,,
至于在萤火虫的自身，借此可以引诱异性，又可以威吓敌害，对于它的生活上是很有意义的,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
配合科技活动向他们布置一些有启发性的研究课题，结合做一些有意义的科学小实验，演算一些有趣味的数学题,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
为了培养有社会主义觉悟的有文化的劳动者，学校不仅要重视德育、智育、体育和美育，还应该重视基本生产技术教育,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
让患儿的父母出门度假一个月，由一名有经验的护士照料患儿,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
石牌头人向金佩荣罚款，全佩荣不依，平时又以自己有文化，石牌头人有事还得求他，傲视石牌头人,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
原是部落头领，萨满，精于满文，能骑善射，是当地鄂温克人中有影响的人物,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
不过他不怕忙，他说：“忙点好，忙得愉快，忙得有意思,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
同样的一碗面，各自都有不同的吃法，美食家对此是颇有研究的,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
我们的干部队伍总要变得比较年轻些，比较有知识，比较懂得业务,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
真有意思，这位国内建筑轻结构权威和这个火球有什么必然联系呢？,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
他有文化，有头脑，有谋略，他注意国内外政治形势,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
他有文化，有头脑，有谋略，他注意国内外政治形势,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
一个面孔漂亮，肚子里又有几分墨水，头脑里还有点思想，能跟你谈谈莫札特,4,0,0,1,1,2,2,,,,,,,,,,,,,,,
如果采用温泉浴进行治疗，必须请有经验的医生指导,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
为了人民的幸福，他们忍受了多少的艰难困苦，做了多少有意义的工作啊！,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
后者如美国的有影响的语言学家布龙菲尔德主张,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
蔡元培是中国近现代教育史上的一位极有影响的教育家,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
文章一开始就有声有色地叙述了左光斗慧眼独具、识拔史可法于贫穷之中的动人情景,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
文章一开始就有声有色地叙述了左光斗慧眼独具、识拔史可法于贫穷之中的动人情景,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
他慈善、纯正，爱逗几句笑话，是个有知识的老头,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
我们不同意他出去，他还对厂里有意见,4,0,0,1,2,1,2,,,,,,,,,,,,,,,
但他究竟是交际场上有经验的人，认为在这种场合不能认真,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
他们也忌恨那些有钱有地位的人，但眼红要大于忌恨,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
他们也忌恨那些有钱有地位的人，但眼红要大于忌恨,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
为了保证教学的质量，北昆小学挑选了两名有经验的教师担任夜校教员,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
其中比较有影响的有周钢鸣、秦柳方、刘季平等,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
他还说，当前先富起来的“两户”，多是有知识、懂技术、会经营、头脑活的人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
戏曲改革工作是很有成绩的,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
我们搞现代戏也很有成绩,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
这些幽默的语言和动作，表现了一个富有经验的老战士对敌人的无限蔑视,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
三十多年来，我们的戏曲改革是很有成绩的,4,1,1,1,2,1,2,,,,,,,,,,,,,,,
如带他们去观察实习一位有经验的推销人员（或销售经理）怎样做销售工作，,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
或者让他们去做某一项推销工作，派一名有经验的推销人员在旁边观察，回来以后，帮助他们总结经验。,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
可以从有经验的、优秀的推销人员那里得到）,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
儿童文学作品的语言要有声有色，娓娓动听,4,0,0,0,1,1,2,,,,,,,,,,,,,,,
儿童文学作品的语言要有声有色，娓娓动听,4,0,0,0,1,1,2,,,,,,,,,,,,,,,
王侃予是军校的教官，头脑机敏，很有学问，贺诚和陆更夫一向很崇敬这位四川老乡,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
这话确有意思,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
真正感兴趣的却是次日大人们送给他们的一种很有意思的玩具,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
他还要有预见性，及时发掘有意义的新闻事件并拍摄下来，迅速报道出去,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有些领导又往往不喜欢张先德这种有观点、有棱角的下属,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
久仰，久仰，你的文章很有意义，我这次来，就是想听听你的,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
今后除进一步勘查我国钾矿资源和充分利用苦卤外，研究从海水中直接提钾，也是一个具有意义的课题,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
那儿的科学大门需要有知识的人去打开，进去寻找、发现、研究、整理,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
但细细体会姆妈的话，觉得很有意思,4,1,1,1,2,1,2,,,,,,,,,,,,,,,
在这样的意义上，我们忽略了它的鸣声，不把它饲养，可以使它充分繁殖，在经济上是很有意思的,4,1,1,1,2,1,2,,,,,,,,,,,,,,,
在数学方面托勒密也很有成绩,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
有些地方热心于搞机械、轻工、化工等行业，当然，这些行业在有条件的社队也是可以搞的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
"这种""左""倾错误思想现在还有影响",4,0,0,0,2,1,2,,,,,,,,,,,,,,,
过去我们曾经做到的事情，现在更有条件能够做得到,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
这倒挺有意思，让我想想,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
通过我们的工作，使死者家属心灵上得到一点安慰，哪怕减少一丝悲恸，不是很有意义吗,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
刘厚总他力气大，枪法准，又打过游击，有经验，可以背我上山,4,0,0,1,2,1,2,,,,,,,,,,,,,,,
真有意思，这时反而对屋子、床和被子感到陌生了,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
即使不成功，但这件事本身就很有意义，很有价值，很说明问题,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
即使不成功，但这件事本身就很有意义，很有价值，很说明问题,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
我找了一个有知识有名气的丈夫,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
我找了一个有知识有名气的丈夫,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
竟然使在座的酒鬼们点头称是，觉得他很有研究,4,0,1,1,1,1,2,,,,,,,,,,,,,,,
这个人的画很有水平，且不说在全国怎么样，在我们这里是第一流的,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
而且说老实话，跟他聊聊很有意思,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
四川美术学院的创作教学有成绩，首先表现在坚持抓师生的创作教学，抓深入实际生活进行创作,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
油田党委认为李晔同志懂专业，有文化，年富力强，推荐他担任胜利油田会战指挥部指挥,4,0,0,1,2,1,2,,,,,,,,,,,,,,,
莫老师是一位对野外调查很有经验的科学家,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
田里的稻苗，在农民伯伯的培育下，青翠，碧绿，长得特别有精神,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
一个作曲家，指挥家，应该洞察到“剑拔弩张”和“藏锋不露”的相同效果，是很有意思的,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
你很有钱是吧,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
有个挺有意思的民间传说,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
听琴最好偷听才有意思，绝不能去惊动她,4,0,0,1,2,1,2,,,,,,,,,,,,,,,
我想这时若能听到一曲《广陵散》倒有意思,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
欣欣向荣的乡村，有声有色的草原，森林和渔港,4,1,0,1,1,1,2,,,,,,,,,,,,,,,
欣欣向荣的乡村，有声有色的草原，森林和渔港,4,1,0,1,1,1,2,,,,,,,,,,,,,,,
他们从路旁捋下一把两头尖尖、鲜红晶莹的栽秧果有味地嚼着,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
她是一个有思想的人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
觉得自己学得真有意思，情不自禁地咯咯笑了起来,4,1,1,1,2,1,2,,,,,,,,,,,,,,,
阎王老爷也总是向着有钱有势的人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
阎王老爷也总是向着有钱有势的人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
他们有文化，懂技术，懂得经营管理,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
当然有水平的人是不会任意指挥人的,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
你真来了，现在我认为你是既有知识又言行一致的人,4,1,0,1,2,1,2,,,,,,,,,,,,,,,
石家庄地区开展的关于应不应由专业户代表米秋喜担任党支部书记的讨论很有意义，它提出了农村建设中一个重大课题,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
对他们+A1054:A1084来说，自留地里的劳动是一种美好的享受，一种有意义的嗜好,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
秦怡是一位很有经验的老演员，她在钻研角色时，时刻想到保持原著的风格。,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
在全体人民中坚持不懈地深入进行有理想、有道德、有文化、有纪律的教育,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
在全体人民中坚持不懈地深入进行有理想、有道德、有文化、有纪律的教育,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
在全体人民中坚持不懈地深入进行有理想、有道德、有文化、有纪律的教育,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
不过，回想起这短短的一段日子颇有点意思,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
"他还安装了一台电话机，电话号码很有意思，是５７１，听起来有点象""吾吃药""",4,0,1,0,2,1,2,,,,,,,,,,,,,,,
"有意思的是，这些假人儿均由特种材料造就，经得住各种""磨难""",4,1,0,0,2,1,2,,,,,,,,,,,,,,,
爱因斯坦对传统的科学史颇有意见，因为传统的科学史把科学的发展，写成发现一个真理又发现一个真理的过程,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
一个十三岁的少年能够写出这样有思想的文章，我在惊喜之余,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有经验的养鸭工作者，他们掌握了雏鸭所需要的外界温度,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有条件的每日最好能摄入新鲜瓜茄,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
应由有经验的医生根据病人当时的症状来决定，不可一概而论,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
在科学认识的理论层次中，最有意义的假说是广义的假说,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
好在他已不是初出茅庐的新手，而是一位富有经验的行家,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
他完全是一个有钱人家的子弟，和几年前的我一样,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有许多同学对于修改章程有意见，起来反对，就闹风潮,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
那些有钱的当衙门的，恶人是什么,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
恶人死光了，有钱的，当衙门的也死光了，上帝才把大水弄退,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有钱有势的亲戚朋友又找不着,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有钱有势的亲戚朋友又找不着,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
这种发展很有意义，因为它既反映了、又促进了儿童的认知结构的发展,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
疗治我的医生乃英国人，对外科确有经验,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
有意思的是这些不规则形式都是常用的，而儿童早已从父母那里学会了这种形式,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
何况她是一个有身份的人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
有经验的人一眼便可看出这署名里面有问题。,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
生意让他做得有声有色的，似乎卖熟肉并非为了挣钱过日子,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
生意让他做得有声有色的，似乎卖熟肉并非为了挣钱过日子,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
作为一个副职，除了要做些有影响的全店性的事外，还得干点行政管理的具体事务,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
骚胡子居然讲得有头有尾，有声有色,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
骚胡子居然讲得有头有尾，有声有色,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
骚胡子居然讲得有头有尾，有声有色,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
骚胡子居然讲得有头有尾，有声有色,4,1,0,0,1,1,2,,,,,,,,,,,,,,,
慢条斯理地拿起竹烟筒，按了一锅烟，有滋有味地呼噜起来，眯着一只眼睛应接不暇地欣赏着夹江的奇峰怪石,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
是这位新矿长，三十六岁，只比德强大五岁，有文凭，有胆识，有很多和他的前任不同的地方,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
你们来信提的问题很有意思,4,0,1,1,2,1,2,,,,,,,,,,,,,,,
该中心旨在促进军地青年的思想交流，培养和造就有理想有道德有文化守纪律的一代新人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
该中心旨在促进军地青年的思想交流，培养和造就有理想有道德有文化守纪律的一代新人,4,1,0,0,2,1,2,,,,,,,,,,,,,,,
你小子有文化，懂科学，这我相信，搞买卖找门路,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
你有学问、有本事，你的天地是广阔的，你活着才有意思,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
你有学问、有本事，你的天地是广阔的，你活着才有意思,4,0,0,0,2,1,2,,,,,,,,,,,,,,,
我是一个活人，一个有血有肉的活人，一个有脸有皮的女人，我不能做这种廉价的奉献,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
我是一个活人，一个有血有肉的活人，一个有脸有皮的女人，我不能做这种廉价的奉献,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
我是一个活人，一个有血有肉的活人，一个有脸有皮的女人，我不能做这种廉价的奉献,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
我是一个活人，一个有血有肉的活人，一个有脸有皮的女人，我不能做这种廉价的奉献,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
只有亲自感受到生活的气息后，才能创作出有血有肉、具有生活深度的作品来,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
只有亲自感受到生活的气息后，才能创作出有血有肉、具有生活深度的作品来,4,1,0,0,1,2,2,,,,,,,,,,,,,,,
最有味的，同一作家，各家插画所表现的却大不相同,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
去年提出研究封建社会，批判封建主义，就是很有意义的,4,1,1,0,2,1,2,,,,,,,,,,,,,,,
他投身革命，很有影响，写过许多鼓吹反满的文章,4,0,1,0,2,1,2,,,,,,,,,,,,,,,
